nom,SIREN,Date de création,Denomination légale,Denomination usuelle,Activité principale,Tranche effectifs,Catégorie entreprise,État administratif,Adresse
DIGITAL INNOVATION HUB DÜSSELDORF/RHEINLAND GMBH,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
DIGITAL LEAGUE,829387380,2017-04-07,DIGITAL LEAGUE AUVERGNE RHONE ALPES,Non disponible,94.99Z,11,PME,A,"22 RUE ALAN TURING, 63000 CLERMONT-FERRAND"
DIGITAL PRODUCT SIMULATION,411958937,1997-04-23,DIGITAL PRODUCT SIMULATION,Non disponible,62.02A,22,PME,A,"51 RUE DE VERDUN, 92150 SURESNES"
DIGITALE BOX,932676968,2024-09-05,DIGITAL BOX,Non disponible,62.01Z,Non disponible,Non disponible,A,"49 RUE ROQUEBRUNE, 13004 MARSEILLE"
DIGITALRECRUITERS,534776349,2011-09-21,BANKESS,Non disponible,62.01Z,12,ETI,C,"23 RUE D'AUMALE, 75009 PARIS"
DIMO MAINT,510268337,2009-01-30,DIMO MAINT,Non disponible,58.29C,21,ETI,A,"561 ALLEE DES NOISETIERS, 69760 LIMONEST"
DIRECT MARKET,841203474,2018-07-18,DIRECT MARKET,Non disponible,63.12Z,11,PME,A,"11 RUE DE L'ACADEMIE, 67000 STRASBOURG"
DIVERCHIM CDMO,832465892,2017-07-29,DIVERCHIM CDMO,Non disponible,20.14Z,21,ETI,A,"6 RUE DU NOYER, 95700 ROISSY-EN-FRANCE"
DIVERSION CINEMA,822173613,2016-08-26,DIVRSION,Non disponible,82.30Z,03,PME,A,"373 RUE DES PYRENEES, 75020 PARIS"
DJIONI DEV,851985754,2019-07-01,DJIONI DEV,Non disponible,62.01Z,Non disponible,PME,C,"67 RUE LEPIC, 75018 PARIS 18"
DL SOFTWARE,445053937,2003-01-24,DL SOFTWARE,Non disponible,64.30Z,Non disponible,Non disponible,C,"8 AV HOCHE, 75008 PARIS 8"
DM ENGINEERING,949457949,2023-02-01,DM ENGINEERING,Non disponible,71.12B,Non disponible,Non disponible,A,"165 AVENUE HENRI SCHNEIDER, 69330 MEYZIEU"
DM TECHNOLOGIES,490577384,2006-05-01,DM TECHNOLOGIES,DM TECHNOLOGIES,46.69B,01,ETI,A,"ZI OUEST, 17700 SURGERES"
DO YOU DREAM UP,515374221,2009-09-08,"DO YOU DREAM UP-""DYDU""",Non disponible,72.20Z,12,PME,A,"1 PLACE LAINE, 33000 BORDEAUX"
DO'IN3D,912849668,2022-04-26,ASCEND 3D,Non disponible,22.29B,01,PME,A,"400 RUE MAURICE HERZOG, 73420 VIVIERS-DU-LAC"
DOCAGE,412345225,1997-06-02,INTUITEO,Non disponible,62.02B,03,PME,A,"380 RUE CLEMENT ADER, 27000 EVREUX"
DOCEA POWER,492108626,2006-10-02,DOCEA POWER,DOCEA POWER,62.01Z,Non disponible,Non disponible,C,"RUE DU ROCHER DE LORZIER, 38430 MOIRANS"
DOCTEUR CONSO,884334079,2020-06-15,DOCTEUR CONSO,Non disponible,82.99Z,NN,PME,A,"10 RUE DU COMMINGES, 31220 COULADERE"
DOCTOSPY,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
DOGAMI,901205740,2021-06-21,KOMODOR STUDIOS,Non disponible,62.01Z,12,PME,A,"12 RUE VIVIENNE, 75002 PARIS"
DOLIST,432711521,2000-08-31,EMAIL MARKETING,Non disponible,58.29C,21,PME,A,"16 AVENUE PYTHAGORE, 33700 MERIGNAC"
DOLPHIN SEMICONDUCTOR,932368764,2024-08-27,DOLPHIN SEMICONDUCTOR,Non disponible,74.90B,Non disponible,Non disponible,A,"56 RUE DE PONTHIEU, 75008 PARIS"
DOMOSOLARIS,792399305,2013-03-21,DOMO SOLARIS,Non disponible,28.25Z,11,PME,A,"23 RUE CREPET, 69007 LYON"
DOSSIER COMPLET,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
DPO CONSULTING,817754138,2015-12-16,DPO CONSULTING,Non disponible,70.22Z,12,PME,A,"112 BOULEVARD HAUSSMANN, 75008 PARIS"
DRACULA TECHNOLOGIES,538758236,2011-12-12,DRACULA TECHNOLOGIES,Non disponible,26.11Z,12,PME,A,"1 PLACE VICTOR SCHOELCHER, 97300 CAYENNE"
DREAM ACT,814383832,2015-10-05,DREAM ACT SAS,Non disponible,46.49Z,11,PME,A,"47 AVENUE PASTEUR, 93100 MONTREUIL"
DREAM CATCHER SALES,810456244,2015-02-09,DREAM CATCHER SALES,Non disponible,70.21Z,12,PME,A,"11 RUE DENIS POISSON, 75017 PARIS"
DROITISSIMO,513416743,2009-07-01,DROITISSIMO.COM,IMPOT-MALIN.COM,63.12Z,Non disponible,PME,A,"52 RUE DES HAIES, 75020 PARIS 20"
DRONE HIVE,820049666,2016-02-17,DRONE HIVE,Non disponible,30.30Z,Non disponible,PME,C,"86 RUE DE PARIS, 91400 ORSAY"
DRONE INDOOR,821284338,2016-06-29,DRONE INDOOR,Non disponible,93.29Z,01,PME,A,"20 SQUARE DES SABLONS, 49080 BOUCHEMAINE"
DRONE INTERACTIVE (INTENT),834814394,2018-01-16,INTENT,Non disponible,71.12B,03,PME,C,"7 ALL DE PALESTINE, ZI DE MAYENCIN,, 38610 GIERES"
DSNA SERVICES,120064027,1981-06-23,DIRECTION DES SERVICES DE LA NAVIGATION AERIENNE,Non disponible,84.13Z,52,GE,A,"6 RUE DES AVIONS ANTOINETTE, 33700 MERIGNAC"
DSO INTERACTIVE,821693918,2016-07-19,DSO CAPITAL,Non disponible,82.91Z,Non disponible,Non disponible,C,"26 RUE DE CHAMBERY, 75015 PARIS 15"
DSV – LE DOMAINE SKIABLE DE VALMOREL,306689225,1976-01-01,LE DOMAINE SKIABLE DE VALMOREL,VALMOREL LE GRAND DOMAINE,49.39C,22,ETI,A,"210 ROUTE DE CREVE-TETE, 73260 LES AVANCHERS-VALMOREL"
DUBBING BROTHERS,350436028,1989-03-15,DUBBING BROTHERS,Non disponible,59.12Z,32,ETI,A,"51 BOULEVARD FOCH, 93800 EPINAY-SUR-SEINE"
DUOBRUSH,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
DURABILIS RSE,917816332,2022-07-06,DURABILIS RSE,Non disponible,01.49Z,Non disponible,Non disponible,A,"66 RUE DU MARECHAL LECLERC, 94410 SAINT-MAURICE"
DUST MOBILE,831238704,2017-08-01,DUST MOBILE,Non disponible,61.20Z,03,PME,A,"251 RUE CLEMENT ADER, 27000 EVREUX"
DYDU,515374221,2009-09-08,"DO YOU DREAM UP-""DYDU""",Non disponible,72.20Z,12,PME,A,"1 PLACE LAINE, 33000 BORDEAUX"
DYNACURE (FLAMINGO),817666217,2015-12-15,DYNACURE,Non disponible,71.12B,11,PME,C,"650 BD GONTHIER D ANDERNACH, 67400 ILLKIRCH-GRAFFENSTADEN"
DYNAMIC VIEW,448661199,2003-06-01,DYNAMIC VIEW,DYNAMIC VIEW,62.02A,03,PME,A,"27 CHEMIN DES TERRES, 69210 LENTILLY"
DYSLEXIC SCREEN,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
DYVEM LOGISTICS,820028660,2016-04-19,SDM,Non disponible,47.77Z,Non disponible,Non disponible,A,"30 RUE DE LA PIERRE, 44350 GUERANDE"
E 3 D - ENVIRONNEMENT DEMANTELEMENT DEPOLLUTION,494814403,2007-01-18,E 3 D - ENVIRONNEMENT DEMANTELEMENT DEPOLLUTION,Non disponible,38.31Z,Non disponible,Non disponible,C,"ZA DE MONT SAINT SEBASTIEN, 77111 SOIGNOLLES-EN-BRIE"
E.RE.C.A INGÉNIERIE EN ÉLECTRONIQUE ET INFORMATIQUE EMBARQUÉE,383430279,1991-10-01,E RE CA INGENIER ELECTRON INFORMAT INDUS,E RE CA,71.12B,03,PME,A,"25 RUE VICTOR HUGO, 69100 VILLEURBANNE"
E2I SOLUTIONS,952643567,2023-05-16,E2I SOLUTIONS,Non disponible,71.12B,Non disponible,Non disponible,A,"1175 CHEMIN DES CHUILES, 26190 SAINT-JEAN-EN-ROYANS"
E3D ENVIRONNEMENT,518539085,2009-12-02,E3D ENVIRONNEMENT,Non disponible,70.22Z,11,PME,A,"AV LOUIS PHILIBERT, 13080 AIX EN PROVENCE"
E4C SOLUTIONS,978616605,2023-08-17,E4C SOLUTIONS,Non disponible,71.12B,Non disponible,Non disponible,A,"16 RUE CUVIER, 69006 LYON"
EARLY BIRDS,448692301,2003-05-01,EARLY BIRDS,Non disponible,62.02A,12,PME,A,"36 RUE SCHEFFER, 75016 PARIS"
EARLY METRICS,804356525,2014-08-07,EARLY METRICS,Non disponible,70.22Z,12,PME,C,"22 RUE CHAPON, 75003 PARIS"
EASII IC,389019274,1992-10-01,EASII IC,EAS II IC,71.12B,22,PME,A,"32 RUE DES BERGES, 38000 GRENOBLE"
EASILYS,521295162,2010-03-01,IDEOLYS,IDEOLYS,58.29C,22,PME,A,"5 RUE VERCINGETORIX, 75014 PARIS"
EASILYS-RESTAURATION.COM,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
EASYEURO,833165863,2017-11-01,HARMONIIE,Non disponible,64.99Z,11,PME,A,"84 AVENUE DU GENERAL LECLERC, 92100 BOULOGNE-BILLANCOURT"
EASYMOVIE,791945801,2013-03-13,MY EASY MOVIE,Non disponible,59.12Z,12,PME,A,"6 RUE THOREL, 75002 PARIS"
EASYQUORUM,821579299,2016-07-12,STARTUP & GO,Non disponible,62.01Z,Non disponible,Non disponible,C,"16 RUE LECLUSE, 75017 PARIS 17"
EAUX SAINT AMAND,678800749,1967-01-01,SOC DES EAUX MINERALES DE SAINT AMAND,Non disponible,11.07A,21,ETI,A,"1303 ROUTE DE LA FONTAINE BOUILLON, 59230 SAINT-AMAND-LES-EAUX"
EBDS WIRELESS & ANTENNAS,792955064,2013-04-23,EBDS - EUROPEAN BUSINESS DEVELOPMENT SERVICES,Non disponible,70.22Z,11,PME,A,"29 BOULEVARD DES ALPES, 38240 MEYLAN"
ECE – ECOLE D’INGÉNIEURS,335042750,1986-01-31,E.C.E.,Non disponible,59.11A,03,PME,A,"10 RUE AFFRE, 75018 PARIS"
ECENTIAL ROBOTICS,518910419,2009-12-09,ECENTIAL ROBOTICS,Non disponible,26.60Z,22,PME,A,"2 AVENUE DE VIGNATE, 38610 GIERES"
ECHO STUDIO,821452711,2016-06-13,ECHO STUDIO,Non disponible,59.11C,03,PME,A,"9 CITE PARADIS, 75010 PARIS"
ECLORE ACTUATORS,879182533,2019-11-18,ECLORE ACTUATORS,Non disponible,28.12Z,03,PME,A,"2 RUE ROBERT LE RICOLAIS, 44300 NANTES"
ECLOSING,518114780,2009-11-02,ECLOSING.FR,Non disponible,82.99Z,Non disponible,PME,A,"144 RUE SAINT-DENIS, 75002 PARIS"
ECM GREENTECH,531092302,2011-02-03,ECM GREENTECH,Non disponible,28.21Z,21,ETI,C,"46 RUE JEAN VAUJANY, 38000 GRENOBLE"
ECO - TECHNILIN SAS,510634983,2009-02-17,ECO - TECHNILIN SAS,Non disponible,13.99Z,21,ETI,A,"41 AVENUE PAUL CLAUDEL, 80480 DURY"
ECO ADAPT,934195322,2024-10-11,ECO ADAPT,Non disponible,70.10Z,Non disponible,Non disponible,A,"16 RUE RIGAUD, 85000 LA ROCHE-SUR-YON"
ECO BATIMENT,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ECO GTB,794711895,2013-07-26,EFICIA,Non disponible,71.12B,21,PME,A,"193 RUE MARCEL MERIEUX, 69007 LYON"
ECOJOKO,824683155,2016-12-26,JOKO LABS,Non disponible,62.01Z,11,PME,A,"15 SQUARE DE CLIGNANCOURT, 75018 PARIS"
ECOLE FUTEE,934280496,2024-10-09,ECOLE FUTEE,Non disponible,58.29C,Non disponible,Non disponible,A,"29 RUE SADI CARNOT, 78120 RAMBOUILLET"
ECOSUN INNOVATIONS,814872511,2015-09-28,ECOSUN INNOVATIONS,Non disponible,71.12B,11,PME,A,"126 ROUTE DE ROUFFACH, 68920 WETTOLSHEIM"
ECOSYSTEM RESTORATION STANDARD,891908576,2020-11-13,ERS - ECOSYSTEM RESTORATION STANDARD,Non disponible,74.90B,11,PME,A,"25 RUE FREMICOURT, 75015 PARIS"
ECOVÉLO,981898034,2023-11-10,ECO-VELO,Non disponible,47.91B,Non disponible,Non disponible,C,"11 RUE MARC SANGNIER, 93190 LIVRY-GARGAN"
ECRIN SYSTEMS,329844187,1984-01-01,ECRIN SYSTEMS,Non disponible,33.20C,12,PME,A,"98 RUE DU PRE DE L’HORME, 38920 CROLLES"
EDDS DESIGN,451363311,2003-11-01,CLEMENTINE DESIGN,Non disponible,74.10Z,01,PME,A,"8 COURS LAFAYETTE, 69003 LYON"
EDIXIA AUTOMATION,753630235,2012-08-29,EDIXIA AUTOMATION,Non disponible,71.12B,12,PME,A,"RUE DES PERRIERES, 35770 VERN-SUR-SEICHE"
EDOKI ACADEMY,751962796,2012-05-29,EDOKI ACADEMY,Non disponible,58.29C,02,ETI,A,"18 RUE BARBES, 92120 MONTROUGE"
EDXACT,453103079,2004-03-30,SILVACO GRENOBLE,Non disponible,58.29C,00,PME,C,"55 RUE BLAISE PASCAL, 38330 MONTBONNOT-SAINT-MARTIN"
EEL ENERGY,537565111,2011-10-24,EEL ENERGY,Non disponible,71.12B,03,PME,A,"98 BOULEVARD GAMBETTA, 62200 BOULOGNE-SUR-MER"
EFFICIENTIP,411770563,1997-04-15,EFFICIENT IP,EFFICIENT IP,62.01Z,22,PME,A,"84 RUE MEDERIC, 92250 LA GARENNE-COLOMBES"
EFFIMUNE SAS,494370778,2007-02-08,EFFIMUNE,Non disponible,21.20Z,Non disponible,Non disponible,C,"21 RUE LA NOUE BRAS DE FER, 44000 NANTES"
EGERIE SOFTWARE,817640998,2015-12-24,EGERIE SOFTWARE,Non disponible,62.02A,21,PME,A,"49 AVENUE D'IENA, 75016 PARIS"
EITA CONSULTING,830056867,2017-06-01,EITA CONSULTING,Non disponible,62.02A,11,PME,A,"7 RUE DU CHANT DES OISEAUX, 78360 MONTESSON"
EIVER (SAVECODE),750829830,2012-04-03,SAVECODE,Non disponible,62.01Z,NN,PME,A,"20 RUE CAMBON, 75001 PARIS"
ELDOTRAVO,828827808,2017-03-01,MELET SAS,Non disponible,70.22Z,21,PME,A,"172 BOULEVARD DE LA VILLETTE, 75019 PARIS"
ELECTRIC VISIONARY AIRCRAFTS,832990790,2017-10-31,ELECTRIC VISIONARY AIRCRAFTS,Non disponible,70.22Z,Non disponible,PME,C,"3 RUE DE LA REPUBLIQUE, 81200 MAZAMET"
ELISE TECHNOLOGIES,804764595,2014-09-09,ELISE TECHNOLOGIES,Non disponible,62.01Z,Non disponible,Non disponible,A,"1 BOULEVARD MARIUS VIVIER-MERLE, 69003 LYON"
ELIXIR AIRCRAFT,808671234,2014-12-01,ELIXIR AIRCRAFT,Non disponible,30.30Z,21,PME,A,"RUE DU JURA, 17000 LA ROCHELLE"
ELIXIS CORPORATION,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ELPACK PHAREL,337679526,1986-05-02,ELPACK,Non disponible,26.12Z,21,PME,A,"1 AVENUE DES LANGORIES, 26000 VALENCE"
ELSALYS BIOTECH,792623373,2013-04-22,ELSALYS BIOTECH,Non disponible,72.11Z,00,PME,C,"650 BD GONTHIER D ANDERNACH, 67400 ILLKIRCH-GRAFFENSTADEN"
ELYSE ENERGY,889749198,2020-10-01,ELYSE ENERGY,Non disponible,74.90B,11,PME,A,"91 RUE DE LA PART-DIEU, 69003 LYON"
EMAP CONSULTING,978336139,2023-09-01,EMAP CONSULTING,Non disponible,70.22Z,Non disponible,Non disponible,A,"1 CHEMIN DE NELY, 69380 DOMMARTIN"
EMBLEEMA FRANCE,840654545,2018-05-29,EMBLEEMA FRANCE,Non disponible,62.01Z,Non disponible,PME,A,"7 RUE MEYERBEER, 75009 PARIS"
EMERGENCE THERAPEUTICS FRANCE,877947333,2019-09-26,EMERGENCE THERAPEUTICS FRANCE,Non disponible,72.11Z,03,PME,A,"17 BOULEVARD AUGUSTIN CIEUSSA, 13007 MARSEILLE"
EMOTION TECH,751371964,2012-05-03,EMOTION TECH,Non disponible,28.96Z,02,PME,A,"125 CHEMIN DU SANG DE SERP, 31200 TOULOUSE"
EMOTIVE MUSIK,510132426,2009-02-01,Non disponible,Non disponible,90.03B,01,PME,A,"1 ESP AUGUSTIN AUSSEDAT, 74000 ANNECY"
EMPREINTE.COM,398478941,1994-09-01,EMPREINTE MULTIMEDIA,Non disponible,58.29C,03,PME,A,"96 RUE ORFILA, 75020 PARIS"
EMSPROTO,804438240,2014-09-01,EMSFACTORY,Non disponible,26.12Z,11,PME,A,"8 ALLEE ISAAC NEWTON, 33650 MARTILLAC"
EMULATION AND VERIFICATION ENGINEERING,430450981,2000-04-07,SYNOPSYS EMULATION AND VERIFICATION,EVE-EV ENGINEERING-EVE-TEAM.COM-EVE TEAM,71.12B,32,ETI,A,"1128 ROUTE DE TOULON, 83400 HYERES"
ENCHANTED TOOLS,901084368,2021-06-23,ENCHANTED TOOLS,Non disponible,71.12B,12,PME,A,"4 RUE DE LA BOURSE, 75002 PARIS"
ENDER OCEAN,889755518,2020-09-29,ENDER OCEAN,Non disponible,39.00Z,00,PME,C,"19 AV CHARLES ET EMILE LESTAGE, 33170 GRADIGNAN"
ENERBEE TECHNOLOGY,909384455,2022-01-20,ENERBEE TECHNOLOGY,Non disponible,71.12B,03,PME,A,"23 RUE DIDEROT, 38000 GRENOBLE"
ENERGIE IP,810214528,2015-02-03,ENERGIE IP,Non disponible,71.12B,00,PME,A,"48 RUE DU CHATEAU D'EAU, 75010 PARIS"
ENKEL SENSORS,908484520,2022-01-03,ENKEL,Non disponible,29.31Z,Non disponible,PME,A,"5 RUE DE LA FILATURE, 87510 NIEUL"
ENNEA GROUPE,918015512,2022-07-26,ENNEA GROUPE,Non disponible,70.22Z,Non disponible,PME,A,"575 AVENUE GEORGE WASHINGTON, 62400 BETHUNE"
ENR'J SOLAIRE,883115958,2020-04-04,CREAWATT ENGINEERING,Non disponible,70.22Z,03,PME,A,"75 RUE DES FRENES, 45700 PANNES"
ENTOMO FARM,801623158,2014-04-07,ENTOMO FARM,Non disponible,47.78C,Non disponible,Non disponible,C,"248 AV DE L EPINETTE, 33500 LIBOURNE"
ENTR'UP,805170032,2014-10-01,ENTR'UP SAS,Non disponible,70.21Z,11,PME,C,"92 RUE MAGENTA, 69100 VILLEURBANNE"
ENYO PHARMA,799831011,2014-01-02,ENYO PHARMA,Non disponible,72.19Z,11,PME,A,"60 AVENUE ROCKEFELLER, 69008 LYON"
ENYX,532030871,2011-04-19,EXEGY,Non disponible,62.01Z,12,PME,A,"21 RUE LE PELETIER, 75009 PARIS"
EP (ENERGIE PERSPECTIVE),499398253,2007-07-12,EP,Non disponible,62.02A,12,PME,A,"26 RUE HENRY MONNIER, 75009 PARIS"
EP TENDER,753074350,2012-07-30,EP TENDER,Non disponible,71.12B,03,PME,A,"23 RUE D ALSACE, 78100 SAINT-GERMAIN-EN-LAYE"
EPAAS.IO,521509380,2010-04-06,EPAS,EPAS,43.21A,01,PME,A,"7 RUE BEL-AIR, 37700 SAINT-PIERRE-DES-CORPS"
EPACK HYGIENE (CHR NUMÉRIQUE),789845120,2012-11-28,CHR NUMERIQUE,Non disponible,46.51Z,22,PME,A,"13 AVENUE GEORGES CLEMENCEAU, 29200 BREST"
EPAWN,523964823,2010-08-15,STARBREEZE PARIS,Non disponible,62.03Z,11,PME,A,"80 RUE DES HAIES, 75020 PARIS"
EPHYLA SAS,512447236,2009-04-01,EPHYLA,EPHYLA3,72.19Z,11,PME,A,"TOHANNIC, 56000 VANNES"
EPSOR,832966956,2017-10-18,FREMAVI,Non disponible,70.22Z,21,PME,A,"21 RUE JEAN PREDALI, 49100 ANGERS"
EQUALLY WORK,878561026,2019-10-29,"EQUALLY WORK, INC.",Non disponible,70.22Z,Non disponible,Non disponible,C,"10 RUE DUHESME, 75018 PARIS 18"
ERGOSANTE TECHNOLOGIE,790648851,2013-01-16,ERGOSANTE,Non disponible,46.65Z,12,PME,A,"1700 ROUTE DE SAINT JEAN DU GARD, 30140 ANDUZE"
ERIC BOMPARD,338375454,1986-06-04,ERIC BOMPARD,ERIC BOMPARD SA,47.71Z,32,ETI,A,"2 RUE DU TEMPLE-NEUF, 67000 STRASBOURG"
ERMA ENERGY,824565030,2016-12-22,ERMA ENERGY,Non disponible,27.11Z,03,PME,C,"61 RUE EUGENE FREYSSINET, 33115 LA TESTE-DE-BUCH"
ERMEO,809717291,2015-02-19,CAUSEWAY TECHNOLOGIES,Non disponible,62.01Z,12,PME,A,"4 RUE DOUDEAUVILLE, 75018 PARIS"
ERPRO 3D FACTORY,828584318,2017-03-20,ERPRO 3D FACTORY,Non disponible,32.99Z,11,PME,A,"135 AVENUE CHARLES DE GAULLE, 92200 NEUILLY-SUR-SEINE"
ERPRO GROUP,828400556,2017-02-28,ERPRO GROUP,Non disponible,70.10Z,03,PME,A,"3 RUE DE CHAUVRY, 95320 SAINT-LEU-LA-FORET"
ESRF - ILL,338723919,1986-01-01,EUROPEAN SYNCHROTRON RADIATION FACILITY,Non disponible,72.19Z,41,ETI,A,"6 RUE JULES HOROWITZ, 38000 GRENOBLE"
ETABLISSEMENTS PENNACCHIOTTI,389042326,1992-10-01,ETABLISSEMENTS PENNACCHIOTTI,Non disponible,25.62B,12,PME,A,"35 BOULEVARD DES ALPES, 38240 MEYLAN"
EURIS SAS,401469853,1995-06-15,EURIS,Non disponible,46.52Z,03,PME,A,"ROCADE DU CD 35, 91940 GOMETZ-LE-CHATEL"
EURO COMMUNICATION EQUIPEMENT SAS,343872818,1987-01-01,EURO COMMUNICATION EQUIPEMENTS,CB HOUSE,46.52Z,02,PME,A,"14 RUE DE LA REPUBLIQUE, 92800 PUTEAUX"
EUROFINS EAG,402473649,1995-10-01,EUROFINS EAG MATERIALS SCIENCE FRANCE,Non disponible,71.20B,11,GE,A,"14 AVENUE DU DOCTEUR MAURICE GRYNFOGEL, 31100 TOULOUSE"
EUROS / AGENCY GROUP,879600096,2019-12-06,EUROS AGENCY GROUP,Non disponible,82.11Z,03,PME,A,"1 PLACE D'ESTIENNE D'ORVES, 75009 PARIS"
EUROSTEP DIGITAL,880885918,2019-12-18,EUROSTEP DIGITAL SE,Non disponible,62.01Z,Non disponible,PME,A,"23 RUE VERGNIAUD, 75013 PARIS"
EVA ENGINES,853028934,2019-07-31,EVA ENGINES,Non disponible,62.01Z,00,PME,A,"29 RUE DE TURIN, 75008 PARIS"
EVENTDRIVE,828182279,2017-02-21,EVENT DRIVE,Non disponible,49.32Z,Non disponible,Non disponible,A,"38 RUE DES MATHURINS, 75008 PARIS"
EVENTMAKER.IO,512747676,2009-05-20,EVENTMAKER,Non disponible,62.01Z,21,ETI,A,"4 RUE D'ALSACE, 92300 LEVALLOIS-PERRET"
EVOK DESIGN,435003553,2001-03-01,EVOK,EVOK DESIGN,74.10Z,02,PME,A,"233 RUE AMPERE, 54710 LUDRES"
EVOLUTION ENERGIE,524834447,2010-09-06,EVOLUTION ENERGIE,Non disponible,70.22Z,11,PME,A,"42 RUE CAUCHY, 94110 ARCUEIL"
EXAQT WORLD,483340196,2005-07-08,EXAQT WORLD,Non disponible,46.69C,01,PME,A,"4 PLACE LOUIS ARMAND, 75012 PARIS"
EXELIOM BIOSCIENCES,824343214,2016-12-12,EXELIOM BIOSCIENCES,Non disponible,72.19Z,03,PME,A,"14 RUE LACUEE, 75012 PARIS"
EXHAUSS (L'AIGLE),503048480,2008-02-08,L'AIGLE,L'AIGLE,46.69C,Non disponible,PME,A,"13 RUE DANIEL FARGEOT, 69550 AMPLEPUIS"
EXO PLATFORM,450511506,2003-11-01,EXO PLATFORM,Non disponible,71.12B,03,PME,A,"7 RUE DE LA PAIX, 75002 PARIS"
EXOTEC SOLUTIONS,812878742,2015-07-15,EXOTEC,Non disponible,46.69B,32,ETI,A,"135 BOULEVARD PAUL PAINLEVE, 59000 LILLE"
EXPERT TELEPORTATION,902650431,2021-07-02,TELEPORTATION,Non disponible,74.10Z,03,PME,A,"11 CHEMIN DES PETITES BROSSES, 69300 CALUIRE-ET-CUIRE"
EXPERTISE VISION,510714579,2009-02-02,EXPERTISE VISION,EXPERTISE VISION,33.20C,11,PME,A,"100 IMPASSE DE LA ROSEE, 74300 THYEZ"
EXPLORA PROJECT,840594022,2018-06-20,EXPLORA PROJECT,Non disponible,79.11Z,12,PME,A,"12 RUE DU PRE FAUCON, 74000 ANNECY"
EXPLORAMA,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
EXPREZIS,807570288,2014-10-28,ID3O,Non disponible,46.66Z,03,PME,A,"1 RUE SAINT-SAMSON, 49100 ANGERS"
EXPWAY,433418787,2000-10-19,EEXPWAY,Non disponible,62.01Z,03,PME,A,"13 RUE CAMILLE DESMOULINS, 92130 ISSY-LES-MOULINEAUX"
EXTERNEED,890231491,2020-10-05,AGREGA.IO,Non disponible,70.22Z,Non disponible,PME,A,"37 RUE DES MATHURINS, 75008 PARIS"
EXYTE FRANCE,404164915,1996-01-01,EXYTE FRANCE,M W GROUP,71.12B,21,PME,A,"7 RUE DE LA CROIX MARTRE, 91120 PALAISEAU"
EYE4NIR,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
EYES'R,843791179,2018-10-31,EYES'R,Non disponible,74.90B,02,PME,C,"1 AVENUE DU CHAMP DE MARS, 45100 ORLEANS"
EYESEE INVENTORY DRONE SOLUTIONS,905304952,2021-11-16,DARWIN DRONES,Non disponible,46.51Z,11,PME,A,"12 RUE AMPERE, 38000 GRENOBLE"
EYEVENSYS,509397832,2008-12-08,PULSESIGHT THERAPEUTICS,Non disponible,72.19Z,11,PME,A,"RUE D'ORADOUR-SUR-GLANE, 75015 PARIS"
EYWA VISION,979199676,2023-09-01,EYWA VISION,Non disponible,73.11Z,Non disponible,Non disponible,A,"26 RUE DE LA REPUBLIQUE, 73200 ALBERTVILLE"
EZEE WORLD,531272029,2011-03-04,EZEE WORLD,Non disponible,62.01Z,Non disponible,Non disponible,C,"3 RUE GUSTAVE EIFFEL, 78300 POISSY"
F3DF,492238118,2006-10-05,B5 PRODUCTIONS,Non disponible,85.59A,03,PME,A,"31 RUE DES TUILIERS, 69008 LYON"
FAB PHARMA,513255380,2009-06-15,FAB PHARMA,Non disponible,72.19Z,Non disponible,PME,A,"11 AVENUE MYRON HERRICK, 75008 PARIS"
FABCO (DAPPY),845350701,2019-01-01,FABCO,Non disponible,62.01Z,00,PME,A,"6 RUE DE LA PIQUE, 31880 LA SALVETAT-SAINT-GILLES"
FABLAB ORLEANAIS,800970543,2014-02-21,FABLAB ORLEANAIS,Non disponible,82.99Z,02,PME,A,"1 AVENUE DU CHAMP DE MARS, 45100 ORLEANS"
FABULOUS 3D,799529383,2014-01-03,FABULOUS,Non disponible,71.12B,02,PME,A,"55 QUAI SAINT VINCENT, 69001 LYON"
FACTONICS,825034689,2017-01-01,NEXA FORWARD,Non disponible,70.22Z,03,PME,A,"221 RUE LAFAYETTE CHASTEL, 75010 PARIS 10E ARRONDISSEMENT"
FAIR & SMART,820924678,2016-06-10,FAIR AND SMART,Non disponible,62.01Z,03,PME,A,"11 REMPART SAINT-THIEBAULT, 57000 METZ"
