url;name;tags;date_info;description;website;social_links;employees;founders;funding
https://www.jaimelesstartups.fr/indexima-permet-de-donner-acces-aux-donnees-dans-lentreprise-au-plus-grand-nombre-et-en-instantane/;Indexima;#Startup, #B2B, #Tech, #B2B, #Tech, #B2B, #Tech, #B2B, #Tech, #B2B, #B2C, #Tech, #transport;Dernière mise à jour : 22/10/2024 à 18:24, publié le : 06/03/2020;"La solution, à la fois robuste et évolutive, permet aux organisations d’interroger toutes leurs données directement à la source, dans des volumes de dizaines de milliards de lignes en quelques millisecondes seulement. C’est le Zero Time To Data.
De plus, Indexima résout le dilemme coûts / performance pour les usages de data analytic.";https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Indexima;[{'type': 'other', 'url': 'https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Indexima'}, {'type': 'twitter', 'url': 'https://twitter.com/indexima'}, {'type': 'linkedin', 'url': 'https://www.linkedin.com/company/indexima/'}];;;
https://www.jaimelesstartups.fr/5euros-marketplace-microservice/;5euros;#Startup, #B2B, #B2C, #Economie Collaborative, #services, #B2B, #B2C, #services, #Tech, #B2B, #B2C, #Economie Collaborative, #services, #B2B, #B2C, #Economie Collaborative, #services, #B2B, #B2C, #services, #Tech;Dernière mise à jour : 22/10/2024 à 18:36, publié le : 11/04/2019;5euros.com est l’allié des porteurs de projets. Sur 5euros, tout le monde peut proposer ou acheter des microservices. La plateforme tient à rester proche des startupers et porteurs de projets afin de leur offrir des outils pour aller plus loin et booster leur business. Si les entrepreneurs cherchent à déléguer leurs tâches, 5euros est aussi la solution idéale. Il est en effet facile d’y trouver un prestataire compétent qui peut les aider dans différents domaines : développement de leur image sur Internet, gestion de leurs réseaux sociaux, veille concurrentielle, etc. Et si une startup veut proposer ses services sur 5euros, rien de plus facile ! Il suffit de s’inscrire gratuitement et de proposer un microservices selon ses compétences.;https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=5euros;[{'type': 'other', 'url': 'https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=5euros'}, {'type': 'facebook', 'url': 'https://www.facebook.com/5euroscom'}, {'type': 'twitter', 'url': 'https://twitter.com/5euros'}, {'type': 'linkedin', 'url': 'https://fr.linkedin.com/company/5euros-com'}];;;
https://www.jaimelesstartups.fr/lemon-curve/;Lemon Curve;#Startup, #B2C, #Beauté mode maison, #B2C, #Beauté mode maison, #B2B, #B2C, #Evenementiel & Communication, #Tech, #B2B, #B2C, #services, #Tech, #B2B, #B2C, #Beauté mode maison;Dernière mise à jour : 22/10/2024 à 19:15, publié le : 08/03/2013;"Lemon Curve est le site
n°1 de vente de lingerie en France
. Nous distribuons le plus grand choix de lingerie de marque sur internet.
Comment avez vous eu l’idée ?";https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Lemon Curve;[{'type': 'other', 'url': 'https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Lemon Curve'}, {'type': 'other', 'url': 'http://lemoncurve.com/blog/'}, {'type': 'facebook', 'url': 'https://www.facebook.com/LemonCurve'}, {'type': 'twitter', 'url': 'https://twitter.com/LemonCurve'}, {'type': 'linkedin', 'url': 'http://www.linkedin.com/company/2977017?trk=tyah'}];;;
https://www.jaimelesstartups.fr/leaks-podcast-podcast-pour-decrypter-le-marketing-en-ligne/;LEAKS Podcast;#Startup, #B2B, #B2C, #Education & Culture, #Evenementiel & Communication, #B2B, #B2C, #Education & Culture, #Loisirs & Sport, #B2B, #B2C, #Evenementiel & Communication, #Fun & Love, #B2B, #B2C, #Evenementiel & Communication, #B2B, #B2C, #Education & Culture, #Fun & Love;Dernière mise à jour : 22/10/2024 à 17:21, publié le : 29/06/2022;Enquête des coulisses du marketing d’influence, décryptage des affiches de candidats aux élections présidentielles, futur de la publicité ou étude du rapprochement entre des youtubeurs et le monde politique, Leaks Podcast investigue et analyse le monde qui nous entoure grâce à la sémiologie. La communication des marques, des médias et des politiques sont décodées et vulgarisées auprès d’une communauté de 30 000 followers professionnels et grand-public.;https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=LEAKS Podcast;[{'type': 'other', 'url': 'https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=LEAKS Podcast'}, {'type': 'other', 'url': 'https://www.instagram.com/leaks_podcast/'}, {'type': 'twitter', 'url': 'https://twitter.com/Leaks_Podcast'}, {'type': 'linkedin', 'url': 'https://www.linkedin.com/in/nina-rolin/'}];;;
https://www.jaimelesstartups.fr/culturevent/;Culturevent;#Startup, #B2B, #Education & Culture, #Evenementiel & Communication, #B2B, #B2C, #Education & Culture, #Evenementiel & Communication, #B2B, #B2C, #Education & Culture, #services, #B2B, #Evenementiel & Communication, #Application, #B2B, #Economie Collaborative, #Education & Culture, #startup;Dernière mise à jour : 22/10/2024 à 18:55, publié le : 04/01/2017;CULTUREVENT est une plateforme de mise en relation entre musiciens et organisateurs de concerts et d’évènements musicaux, spécialisée dans la musique classique et jazz. Les musiciens référencent gratuitement leurs projets. Les organisateurs trouvent facilement les musiciens dont ils ont besoin selon leur budget, le style de musique et le type d’événement, et peuvent bénéficier d’un accompagnement clé-en-main et sur mesure.;https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Culturevent;[{'type': 'other', 'url': 'https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Culturevent'}, {'type': 'facebook', 'url': 'https://www.facebook.com/culturevent.fr/'}, {'type': 'twitter', 'url': 'https://twitter.com/culturevent'}];;;
https://www.jaimelesstartups.fr/moovency-detection-risque-tms-dans-votre-entreprise/;Moovency;#Startup, #B2B, #Sante Hygiène, #Tech, #B2B, #Sante Hygiène, #Tech, #B2B, #B2C, #Sante Hygiène, #Tech, #B2B, #Sante Hygiène, #Tech, #B2B, #B2C, #Metaverse, #Sante Hygiène, #Tech;Dernière mise à jour : 22/10/2024 à 18:29, publié le : 23/10/2019;Moovency développe la solution KIMEA permettant aux entreprises de quantifier objectivement le risque de TMS à partir de technologies de rupture. Il suffit d’une seule camera placée à proximité du travailleur et de puissants algorithmes de vision par ordinateur pour obtenir automatiquement la posture en 3D et le risques de TMS associés. Cette solution pensée pour le terrain se veut discrète et peu invasive pour le travailleur, s’adaptant aux contraintes industrielles par sa performance et sa portabilité.;https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Moovency;[{'type': 'other', 'url': 'https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Moovency'}, {'type': 'twitter', 'url': 'https://twitter.com/moovency'}, {'type': 'linkedin', 'url': 'https://www.linkedin.com/company/moovency'}];;;
https://www.jaimelesstartups.fr/washmee-marketplace-des-centres-de-lavages-pour-voitures/;WashMee;#Startup, #B2B, #B2C, #services, #Tech, #B2B, #B2C, #services, #Tech, #B2B, #B2C, #services, #Tech, #B2B, #B2C, #services, #Tech, #B2B, #B2C, #environnement, #Tech;Dernière mise à jour : 22/10/2024 à 18:25, publié le : 25/02/2020;"WASHMEE est une market place engagée pour l’écologie, regroupant des professionnels du lavage de véhicules et réalisant leur mise en relation avec des utilisateurs. C’est à ce jour la seule application qui recense tous les types de lavages et qui permet de les acheter en ligne.
L’écologie et le commerce équitable avant tout.
WashMee digitalise le lavage de véhicules en proposant une offre écologique et responsable au sein de son application mobile et de son site web.
Elle promeut la limitation de la consommation d’eau et encourage la protection des sols et nappes phréatiques en mettant en avant des professionnels du lavage qui investissent dans des systèmes permettant la récupération et le traitement des eaux usées ou qui travaillent sans eau.
Elle soutient la sauvegarde de l’environnement par l’utilisation de produits de nettoyage écoresponsables.
Toutes ces actions sont énumérées dans la charte WashMee for Planet que chaque professionnel s’engage à respecter.
Les prix des lavages sont ﬁxés par les professionnels eux-mêmes, garantissant leurs marges et favorisant ainsi le commerce équitable.
Notre solution digitale, ﬂuidiﬁe le quotidien des utilisateurs leur permettant de réduire drastiquement leur temps d’attente (en station et en caisse) et de tendre vers une universalité des moyens de paiement (plus besoin de jeton, carte ou clé propriétaire de l’exploitant).
WashMee met en avant le lavage à la main – principalement sans eau – en station et à domicile, avec le but de démocratiser ces solutions écoresponsables.
WashMee c’est :
Une application mobile WashMee pour les utilisateurs
Une application mobile WashMee Pro pour les laveurs à domicile uniquement
Un site web marchand pour les utilisateurs et une interface de gestion web pour les pro";https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=WashMee;[{'type': 'other', 'url': 'https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=WashMee'}, {'type': 'facebook', 'url': 'https://www.facebook.com/washmeeapp/'}, {'type': 'twitter', 'url': 'https://twitter.com/washmee_fr'}, {'type': 'linkedin', 'url': 'https://www.linkedin.com/company/washmee/'}];;;
https://www.jaimelesstartups.fr/easyblue-coach-dassurance-dedie-aux-entrepreneurs-tpe-et-independants/;Easyblue;#Startup, #B2B, #Fintech & LegalTech, #Tech, #B2B, #Fintech & LegalTech, #Tech, #B2B, #Fintech & LegalTech, #Tech, #B2B, #Fintech & LegalTech, #Tech, #B2B, #B2C, #Fintech & LegalTech, #Tech;Dernière mise à jour : 22/10/2024 à 18:09, publié le : 21/12/2020;Grâce à Henry, notre IA, nous proposons sur notre site un audit des risques personnalisés à chaque Entrepreneur en moins de 4 minutes, puis Henry compose un programme d’assurances sur-mesure pour se protéger que l’entrepreneur va pouvoir souscrire en moins de 5 minutes et tout dans une expérience full-digitale !;https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Easyblue;[{'type': 'other', 'url': 'https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Easyblue'}, {'type': 'other', 'url': 'https://www.easyblue.io/blog'}, {'type': 'linkedin', 'url': 'https://www.linkedin.com/company/11554239/admin/'}];;;
https://www.jaimelesstartups.fr/clever-cloud/;Clever Cloud;#Startup, #B2B, #Fintech & LegalTech, #Tech, #B2B, #Tech, #B2B, #internet, #B2B, #Emploi & Entreprise, #startup;Dernière mise à jour : 22/10/2024 à 19:17, publié le : 09/10/2013;"Nous proposons de simplifier et d’améliorer l’hébergement web. Plus exactement, nous proposons
une plateforme qui gère de façon automatique et intelligente les applications
. L’hébergement que nous proposons est
scalable
:
la puissance distribuée varie en fonction des besoins
. Clever Cloud est donc principalement utilisé par les développeurs. Et nous supportons la plupart des technologies du web : PHP, Java, Python etc.";https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Clever Cloud;[{'type': 'other', 'url': 'https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Clever Cloud'}, {'type': 'other', 'url': 'http://blog.clever-cloud.com/'}, {'type': 'facebook', 'url': 'https://facebook.com/clevercloudsas'}, {'type': 'twitter', 'url': 'https://twitter.com/clever_cloud'}, {'type': 'linkedin', 'url': 'http://www.linkedin.com/company/1202148'}];;;
https://www.jaimelesstartups.fr/captain-driver-plateforme-convoyeurs-pour-transporter-votre-vehicule/;Captain Driver;#Startup, #B2B, #B2C, #services, #transport, #B2B & B2C, #tourisme, #transport, #B2B, #B2C, #services, #transport, #B2B, #B2C, #services, #transport, #B2B, #B2C, #transport;Dernière mise à jour : 22/10/2024 à 16:37, publié le : 20/03/2024;"Nous mettons en relation des clients avec les meilleurs convoyeurs indépendants sur le marché du convoyage. Nous proposons une solution innovante de convoyage de véhicules, offrant un service de
transport
éco-responsable et innovant.. Grâce à notre plateforme, les entreprises et les particuliers peuvent facilement organiser la livraison de leurs véhicules, que ce soit pour des livraisons locales ou en Europe. Avec une attention particulière portée à la qualité du service et à la satisfaction du client.";https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Captain Driver;[{'type': 'other', 'url': 'https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Captain Driver'}, {'type': 'linkedin', 'url': 'http://www.linkedin.com/company/captain-driver'}];;;
