financement_id,entreprise_id,Date dernier financement,Série,Montant_def,valeur_entreprise
1154,1154,,,2600000.0,€8—12m
1155,1155,,,,
1156,1156,,,,
1157,1157,,,,
1158,1158,,,,(€9m)
1159,1159,,,,
1160,1160,,,10000000.0,€40—60m
1161,1161,,,2000000.0,€8—12m
1162,1162,,,1000000.0,€4—6m
1163,1163,,,9700000.0,€28—42m
1164,1164,,,,
1165,1165,,,,
1166,1166,,,,
1167,1167,,,600000.0,
1168,1168,,,9200000.0,€4—6m
1169,1169,,,8000000.0,€21m
1170,1170,,,,
1171,1171,,,245000.0,€982k—1m
1172,1172,,,3000000.0,€10—15m
1173,1173,,,,
1174,1174,,,2500000.0,€10—15m
1175,1175,,,,
1176,1176,,,2000000.0,€8—12m
1177,1177,,,,
1178,1178,,,10000000.0,€40—60m
1179,1179,,,,
1180,1180,,,,
1181,1181,,,,
1182,1182,,,,
1183,1183,,,,
1184,1184,,,,
